Rank,PackageId,Version,TotalDownloads,DetectedFrameworks,Description
1,Cake.Tool,6.1.0,153269359,Spectre.Console.Cli,The Cake .NET Tool.
2,dotnet-ef,10.0.5,105286296,Unknown/Custom,"Entity Framework Core Tools for the .NET Command-Line Interface.

      Enables these commonly used dotnet-ef commands:
      dotnet ef migrations add
      dotnet ef migrations list
      dotnet ef migrations script
      dotnet ef dbcontext info
      dotnet ef dbcontext scaffold
      dotnet ef database drop
      dotnet ef database update"
3,GitVersion.Tool,6.7.0,105243190,Unknown/Custom,Derives SemVer information from a repository following GitFlow or GitHubFlow. This is the .NET Core Global Tool allowing usage of GitVersion from command line.
4,dotnet-reportgenerator-globaltool,5.5.4,95122628,Unknown/Custom,"ReportGenerator converts coverage reports generated by coverlet, OpenCover, dotCover, Visual Studio, NCover, Cobertura, JaCoCo, Clover, gcov, or lcov into human readable reports in various formats. The reports show the coverage quotas and also visualize which lines of your source code have been covered.

Use this package if your project is based on .NET Core and you want to use ReportGenerator as a (global) 'DotnetTool'.

Installation:
dotnet tool install -g dotnet-reportgenerator-globaltool

dotnet tool install dotnet-reportgenerator-globaltool --tool-path tools

dotnet new tool-manifest
dotnet tool install dotnet-reportgenerator-globaltool

Usage:
reportgenerator [options]
tools\reportgenerator.exe [options]
dotnet reportgenerator [options]"
5,dotnet-sonarscanner,11.2.0,62016149,Unknown/Custom,The SonarScanner for .NET allows easy analysis of any .NET project with SonarCloud/SonarQube.
6,dotnet-dump,9.0.661903,59650228,System.CommandLine,Diagnostic dump collect and analyze tool
7,dotnet-serve,1.10.194,37883026,McMaster.Extensions.CommandLineUtils,"A simple command-line HTTP server.

This package was build from source code at https://github.com/natemcmaster/dotnet-serve/tree/9d9dd6054a2bf57526cdf3a2e88309a56e28ecdc"
8,Swashbuckle.AspNetCore.Cli,10.1.7,37151941,Unknown/Custom,Swashbuckle (Swagger) Command Line Tools
9,Amazon.Lambda.Tools,6.0.5,35332283,Unknown/Custom,Amazon.Lambda.Tools adds commands to the dotnet cli to deploy AWS Lambda functions.
10,Microsoft.dotnet-interactive,1.0.712001,35167722,System.CommandLine,"Command line tool for interactive programming with C#, F#, PowerShell, and more. Powers Polyglot Notebooks and provides .NET support for Jupyter."
11,dotnet-coverage,18.5.2,34913363,System.CommandLine,Code coverage tools.
12,coverlet.console,8.0.1,16997973,System.CommandLine,"Coverlet is a cross platform code coverage tool for .NET, with support for line, branch and method coverage."
13,dotnet-trace,9.0.661903,15857772,System.CommandLine,.NET Performance Trace Tool
14,dotnet-counters,9.0.661903,15539052,System.CommandLine,.NET Performance Counter Tool
15,Paket,10.3.1,15123061,Argu,A dependency manager for .NET with support for NuGet packages and git repositories.
16,JetBrains.dotCover.CommandLineTools,2025.3.4,13714240,Unknown/Custom,Cross-platform .NET code coverage tool.
17,dotnet-gcdump,9.0.661903,13296760,System.CommandLine,.NET Managed Heap Dump and Analysis Tool
18,trx2junit,2.1.0,13182331,Unknown/Custom,Transforms XML from trx-Testresults to JUnit-Testresults / trx to JUnit XML
19,CSharpier,1.2.6,13122602,System.CommandLine,CSharpier is an opinionated code formatter for c#.
